run_index,seed,perception_r,final_burnt,contained_at,idle_pct,avg_cells_scanned,messages,firefighters,max_ticks
43,94,2,2321,53,0.7937262357414449,22.531368821292777,999,24,300
44,95,2,2285,63,0.8085758039816233,21.764931087289433,1299,24,300
45,96,2,2275,55,0.7674216027874564,21.79616724738676,1170,24,300
46,97,2,2229,51,0.7130996309963099,22.013837638376383,1306,24,300
47,98,2,2252,71,0.8039348710990502,21.98507462686567,1276,24,300
48,99,2,2272,58,0.7729184188393609,21.37426408746846,1356,24,300
49,100,2,2273,71,0.8138157894736842,21.711184210526316,1238,24,300
0,51,3,2292,51,0.7352380952380952,39.7047619047619,1421,24,300
1,52,3,2263,53,0.7497773820124666,41.09171861086376,1325,24,300
2,53,3,2262,72,0.7730263157894737,42.929605263157896,1831,24,300
3,54,3,2271,54,0.7504409171075838,39.69753086419753,1403,24,300
4,55,3,2333,54,0.7888784165881244,40.364750235626765,1224,24,300
5,56,3,2267,66,0.7712609970674487,41.61436950146628,1786,24,300
6,57,3,2248,64,0.756003098373354,42.13787761425252,1836,24,300
7,58,3,2255,49,0.6387487386478304,40.26841574167508,1641,24,300
8,59,3,2253,71,0.7993421052631579,41.74013157894737,1547,24,300
9,60,3,2261,65,0.797841726618705,39.43597122302158,1278,24,300
10,61,3,2279,52,0.7497665732959851,40.417366946778714,1298,24,300
11,62,3,2256,49,0.6932773109243697,40.661764705882355,1681,24,300
12,63,3,2247,82,0.8145114101813926,42.53832650672908,1867,24,300
13,64,3,2242,61,0.7639109697933227,40.82432432432432,1543,24,300
14,65,3,2273,58,0.7646573080099092,42.28736581337738,1422,24,300
15,66,3,2205,64,0.7842261904761905,41.484375,1392,24,300
16,67,3,2266,49,0.6896918172157279,42.11902231668438,1621,24,300
17,68,3,2265,44,0.6483790523690773,41.254364089775564,1743,24,300
18,69,3,2275,69,0.8,42.72551724137931,1486,24,300
19,70,3,2294,66,0.7950219619326501,41.502928257686676,1562,24,300
20,71,3,2295,63,0.7806354009077155,40.09304084720121,1485,24,300
21,72,3,2302,56,0.7910189982728842,40.000863557858374,1334,24,300
22,73,3,2276,60,0.7112341772151899,40.32753164556962,1816,24,300
23,74,3,2262,74,0.7947402180885182,40.583707504810775,1587,24,300
24,75,3,2264,65,0.7712045616535994,41.05416963649323,1532,24,300
25,76,3,2255,63,0.7531044558071585,40.9145361577794,1622,24,300
26,77,3,2244,52,0.6912045889101338,41.36806883365201,1731,24,300
27,78,3,2254,59,0.727796052631579,42.49259868421053,1563,24,300
28,79,3,2165,59,0.7180094786729858,38.32385466034755,1498,24,300
29,80,3,2285,71,0.8295841854124063,43.54601226993865,1499,24,300
30,81,3,2238,73,0.806076276664512,41.056237879767295,1544,24,300
31,82,3,11,10,0.9875,47.416666666666664,1,24,300
32,83,3,2288,52,0.6929911154985192,41.03455083909181,1692,24,300
33,84,3,2230,61,0.759083728278041,43.16824644549763,1530,24,300
34,85,3,2245,56,0.7211120764552563,40.68375325803649,1751,24,300
35,86,3,2281,49,0.7195121951219512,40.68089430894309,1335,24,300
36,87,3,2226,43,0.5772151898734177,40.71898734177215,1865,24,300
37,88,3,2269,53,0.7104283054003724,39.61638733705773,1629,24,300
38,89,3,2,4,0.9583333333333334,46.010416666666664,1,24,300
39,90,3,2237,64,0.7452180566182096,40.851568477429225,1747,24,300
40,91,3,2292,55,0.785063752276867,40.20765027322405,1377,24,300
41,92,3,1,4,0.9479166666666666,44.177083333333336,2,24,300
42,93,3,2243,48,0.6482830385015609,39.240374609781476,1814,24,300
43,94,3,2271,56,0.7562056737588653,42.302304964539005,1356,24,300
